iter	Passed	Remaining
0	20	4152
1	32	3222
2	47	3133
3	64	3160
4	80	3131
5	96	3106
6	113	3135
7	134	3223
8	154	3268
9	175	3334
10	191	3282
11	206	3230
12	222	3198
13	240	3189
14	261	3222
15	277	3190
16	292	3149
17	309	3125
18	329	3138
19	342	3086
20	360	3072
21	380	3081
22	457	3523
23	475	3488
24	492	3444
25	508	3403
26	525	3365
27	575	3533
28	603	3557
29	625	3544
30	641	3498
31	660	3469
32	685	3466
33	702	3427
34	714	3370
35	732	3335
36	749	3300
37	769	3281
38	788	3256
39	865	3460
40	883	3427
41	900	3387
42	919	3355
43	932	3304
44	947	3263
45	964	3229
46	978	3185
47	999	3164
48	1014	3125
49	1035	3105
50	1052	3076
51	1069	3042
52	1088	3019
53	1105	2990
54	1127	2973
55	1140	2933
56	1164	2922
57	1185	2902
58	1204	2878
59	1222	2851
60	1247	2842
61	1265	2816
62	1278	2780
63	1293	2749
64	1317	2736
65	1334	2709
66	1353	2685
67	1368	2657
68	1395	2649
69	1424	2646
70	1475	2680
71	1508	2681
72	1527	2657
73	1546	2632
74	1561	2601
75	1575	2570
76	1596	2550
77	1687	2638
78	1707	2615
79	1727	2591
80	1745	2564
81	1760	2533
82	1788	2521
83	1805	2493
84	1825	2469
85	1841	2441
86	1936	2515
87	1988	2531
88	2007	2503
89	2021	2470
90	2043	2447
91	2062	2421
92	2075	2388
93	2091	2358
94	2109	2331
95	2139	2317
96	2156	2290
97	2176	2265
98	2196	2240
99	2215	2215
100	2230	2186
101	2247	2159
102	2263	2131
103	2287	2111
104	2303	2084
105	2319	2057
106	2340	2034
107	2362	2012
108	2378	1986
109	2398	1962
110	2415	1937
111	2433	1911
112	2450	1886
113	2470	1863
114	2485	1837
115	2502	1812
116	2526	1792
117	2540	1765
118	2558	1741
119	2576	1717
120	2597	1695
121	2615	1672
122	2636	1650
123	2649	1624
124	2666	1599
125	2687	1578
126	2699	1551
127	2715	1527
128	2730	1503
129	2748	1479
130	2764	1455
131	2784	1434
132	2802	1411
133	2877	1417
134	2897	1395
135	2911	1370
136	2958	1360
137	2991	1344
138	3007	1319
139	3019	1293
140	3034	1269
141	3060	1250
142	3079	1227
143	3095	1203
144	3117	1182
145	3138	1160
146	3153	1136
147	3169	1113
148	3186	1090
149	3204	1068
150	3225	1046
151	3310	1045
152	3326	1021
153	3343	998
154	3357	974
155	3375	952
156	3400	931
157	3416	908
158	3431	884
159	3443	860
160	3459	837
161	3481	816
162	3492	792
163	3515	771
164	3531	749
165	3547	726
166	3564	704
167	3579	681
168	3597	659
169	3615	637
170	3627	615
171	3640	592
172	3658	570
173	3675	549
174	3690	527
175	3719	507
176	3735	485
177	3750	463
178	3767	441
179	3788	420
180	3818	400
181	3836	379
182	3861	358
183	3877	337
184	3890	315
185	3903	293
186	3930	273
187	3947	251
188	3963	230
189	3984	209
190	4009	188
191	4022	167
192	4042	146
193	4053	125
194	4067	104
195	4093	83
196	4111	62
197	4127	41
198	4148	20
199	4164	0
